Player,Team,GAME_DATE,MATCHUP,Win/Loss,Minutes,2PTMade,2PTAttempted,2PT_%,3PTMade,3PT_Attempted,3PT_%,FreeThrowsMade,FreeThrowsAttempted,FreeThrow%,OffensiveRebounds,DefensiveRebounds,TotRebounds,Assists,Steals,Blocks,Turnovers,PersonalFouls,Points,+/-
Marvin Bagley III,Pistons,27-Oct-23,DET @ CHA,W,13,5,9,55.60%,0,1,0.00%,4,5,80.00%,0,4,4,1,0,0,0,0,14,7
Marvin Bagley III,Pistons,25-Oct-23,DET @ MIA,L,16,3,3,100.00%,0,0,0.00%,2,2,100.00%,2,6,8,3,0,1,1,1,8,3
Marvin Bagley III - Average,Average,,,,18.6,3.9,6.9,62.20%,0.1,0.5,9.10%,2.5,2.8,68.00%,1.5,3.4,4.8,1.3,0,0.5,1.3,1.8,10.5,3.3
Amari Bailey,Hornets,12-Nov-23,CHA @ NYK,L,3,1,3,33.30%,0,0,0.00%,0,0,0.00%,2,0,2,0,0,0,0,0,2,7
Amari Bailey - Average,Average,,,,3,1,3,33.30%,0,0,0.00%,0,0,0.00%,2,0,2,0,0,0,0,0,2,7
Patrick Baldwin Jr.,Wizards,30-Oct-23,WAS vs. BOS,L,6,0,1,0.00%,0,1,0.00%,0,0,0.00%,0,0,0,1,0,0,0,0,0,4
Patrick Baldwin Jr.,Wizards,25-Oct-23,WAS @ IND,L,3,0,1,0.00%,0,0,0.00%,0,0,0.00%,0,0,0,0,0,0,0,0,0,2
Patrick Baldwin Jr. - Average,Average,,,,4.5,0,1,0.00%,0,0.5,0.00%,0,0,0.00%,0,0,0,0.5,0,0,0,0,0,3
LaMelo Ball,Hornets,12-Nov-23,CHA @ NYK,L,33,13,20,65.00%,4,8,50.00%,2,2,100.00%,3,4,7,6,1,1,2,2,32,-32
LaMelo Ball,Hornets,10-Nov-23,CHA @ WAS,W,38,9,19,47.40%,4,8,50.00%,3,4,75.00%,3,3,6,6,2,0,2,5,25,0
LaMelo Ball,Hornets,8-Nov-23,CHA vs. WAS,L,36,13,22,59.10%,3,9,33.30%,5,7,71.40%,3,1,4,7,1,0,6,3,34,-3
LaMelo Ball,Hornets,5-Nov-23,CHA @ DAL,L,39,11,23,47.80%,5,10,50.00%,3,3,100.00%,2,8,10,13,1,1,3,6,30,1
LaMelo Ball,Hornets,4-Nov-23,CHA @ IND,W,31,4,15,26.70%,2,7,28.60%,1,1,100.00%,1,1,2,11,2,0,6,5,11,-15
LaMelo Ball,Hornets,1-Nov-23,CHA @ HOU,L,33,7,15,46.70%,2,6,33.30%,3,4,75.00%,1,0,1,5,1,0,3,4,19,-14
LaMelo Ball,Hornets,30-Oct-23,CHA vs. BKN,L,22,3,12,25.00%,0,6,0.00%,2,2,100.00%,0,3,3,8,2,0,3,6,8,-3
LaMelo Ball,Hornets,27-Oct-23,CHA vs. DET,L,33,4,17,23.50%,2,7,28.60%,10,12,83.30%,3,6,9,9,2,1,4,1,20,-7
LaMelo Ball,Hornets,25-Oct-23,CHA vs. ATL,W,31,4,15,26.70%,4,11,36.40%,3,4,75.00%,1,5,6,10,1,0,3,3,15,7
LaMelo Ball - Average,Average,,,,32.9,7.6,17.6,40.90%,2.9,8,34.50%,3.6,4.3,86.60%,1.9,3.4,5.3,8.3,1.4,0.3,3.6,3.9,21.6,-7.3
