SEASON_ID,Player_ID,Game_ID,GAME_DATE,MATCHUP,WL,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TOV,PF,PTS,PLUS_MINUS,Player,Team
22023,203937,0022300013,10-Nov-23,MIN @ SAS,W,26,2,2,1,0,0,0,2,4,0.5,0,5,5,4,1,0,4,1,6,9,Kyle Anderson,Timberwolves
22023,203937,0022300166,8-Nov-23,MIN vs. NOP,W,25,2,3,0.667,1,2,0.5,1,2,0.5,0,2,2,5,1,2,2,2,6,16,Kyle Anderson,Timberwolves
22023,203937,0022300154,6-Nov-23,MIN vs. BOS,W,25,1,6,0.167,0,2,0,1,2,0.5,2,3,5,6,0,1,4,4,3,6,Kyle Anderson,Timberwolves
22023,203937,0022300138,4-Nov-23,MIN vs. UTA,W,27,5,6,0.833,0,0,0,2,2,1,1,2,3,6,1,2,0,3,12,11,Kyle Anderson,Timberwolves
22023,203937,0022300123,1-Nov-23,MIN vs. DEN,W,25,4,6,0.667,1,1,1,0,0,0,0,3,3,2,0,0,0,0,9,-1,Kyle Anderson,Timberwolves
22023,203937,0022300104,30-Oct-23,MIN @ ATL,L,25,2,5,0.4,0,2,0,0,0,0,1,1,2,5,2,1,2,1,4,-8,Kyle Anderson,Timberwolves
22023,203937,0022300093,28-Oct-23,MIN vs. MIA,W,23,5,6,0.833,0,0,0,2,2,1,0,2,2,4,2,0,2,1,12,7,Kyle Anderson,Timberwolves
22023,203937,0022300069,25-Oct-23,MIN @ TOR,L,30,3,9,0.333,0,1,0,1,2,0.5,2,7,9,5,2,0,1,0,7,15,Kyle Anderson,Timberwolves
22023,203507,0022300173,11-Nov-23,MIL @ ORL,L,37,15,22,0.682,0,1,0,5,12,0.417,2,8,10,7,4,2,6,4,35,-11,Giannis Antetokounmpo,Bucks
22023,203507,0022300171,9-Nov-23,MIL @ IND,L,36,19,25,0.76,0,1,0,16,18,0.889,2,10,12,3,0,0,8,4,54,6,Giannis Antetokounmpo,Bucks
22023,203507,0022300165,8-Nov-23,MIL vs. DET,W,22,6,16,0.375,0,2,0,3,6,0.5,0,9,9,5,0,3,1,1,15,5,Giannis Antetokounmpo,Bucks
22023,203507,0022300149,6-Nov-23,MIL @ BKN,W,35,15,27,0.556,1,7,0.143,5,6,0.833,2,10,12,3,1,2,3,1,36,15,Giannis Antetokounmpo,Bucks
22023,203507,0022300002,3-Nov-23,MIL vs. NYK,W,36,6,10,0.6,3,3,1,7,13,0.538,1,7,8,6,0,1,7,3,22,13,Giannis Antetokounmpo,Bucks
22023,203507,0022300116,1-Nov-23,MIL @ TOR,L,28,5,11,0.455,0,0,0,6,9,0.667,3,1,4,2,1,0,3,3,16,-10,Giannis Antetokounmpo,Bucks
22023,203507,0022300107,30-Oct-23,MIL vs. MIA,W,32,12,21,0.571,1,3,0.333,8,11,0.727,1,6,7,2,0,1,2,3,33,18,Giannis Antetokounmpo,Bucks
22023,203507,0022300097,29-Oct-23,MIL vs. ATL,L,29,9,14,0.643,0,1,0,8,10,0.8,5,6,11,3,1,2,3,2,26,-11,Giannis Antetokounmpo,Bucks
22023,203507,0022300075,26-Oct-23,MIL vs. PHI,W,35,10,21,0.476,0,3,0,3,9,0.333,4,8,12,3,2,2,7,4,23,-13,Giannis Antetokounmpo,Bucks
22023,203648,0022300173,11-Nov-23,MIL @ ORL,L,10,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,1,2,0,6,Thanasis Antetokounmpo,Bucks
22023,203648,0022300116,1-Nov-23,MIL @ TOR,L,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,Thanasis Antetokounmpo,Bucks
22023,203648,0022300097,29-Oct-23,MIL vs. ATL,L,8,1,1,1,0,0,0,0,0,0,0,0,0,2,1,0,3,2,2,14,Thanasis Antetokounmpo,Bucks
22023,1630175,0022300173,11-Nov-23,ORL vs. MIL,W,14,0,3,0,0,1,0,4,4,1,0,2,2,3,1,0,3,2,4,14,Cole Anthony,Magic
22023,1630175,0022300172,9-Nov-23,ORL vs. ATL,L,23,1,7,0.143,0,4,0,5,6,0.833,1,1,2,2,0,0,3,3,7,-3,Cole Anthony,Magic
22023,1630175,0022300147,6-Nov-23,ORL vs. DAL,L,30,7,13,0.538,2,5,0.4,3,5,0.6,0,2,2,5,1,2,3,3,19,-14,Cole Anthony,Magic
22023,1630175,0022300134,4-Nov-23,ORL vs. LAL,W,23,4,9,0.444,3,5,0.6,3,3,1,3,2,5,1,0,0,3,1,14,-6,Cole Anthony,Magic
22023,1630175,0022300130,2-Nov-23,ORL @ UTA,W,31,5,10,0.5,2,4,0.5,6,6,1,0,7,7,7,2,0,3,3,18,-7,Cole Anthony,Magic
22023,1630175,0022300114,31-Oct-23,ORL @ LAC,L,18,3,6,0.5,0,2,0,4,6,0.667,0,2,2,1,0,0,1,3,10,-18,Cole Anthony,Magic
22023,1630175,0022300111,30-Oct-23,ORL @ LAL,L,21,4,12,0.333,1,3,0.333,3,4,0.75,0,3,3,2,3,0,1,2,12,-9,Cole Anthony,Magic
22023,1630175,0022300086,27-Oct-23,ORL @ POR,W,28,6,15,0.4,3,7,0.429,3,6,0.5,1,3,4,2,0,1,1,3,18,-9,Cole Anthony,Magic
22023,1630175,0022300066,25-Oct-23,ORL vs. HOU,W,24,8,12,0.667,1,2,0.5,3,3,1,1,7,8,2,0,0,0,2,20,17,Cole Anthony,Magic
22023,1628384,0022300174,11-Nov-23,TOR @ BOS,L,28,3,13,0.231,2,8,0.25,0,0,0,1,2,3,2,1,0,0,0,8,-26,OG Anunoby,Raptors
22023,1628384,0022300168,8-Nov-23,TOR @ DAL,W,36,9,17,0.529,3,8,0.375,5,6,0.833,1,4,5,2,0,0,2,4,26,9,OG Anunoby,Raptors
22023,1628384,0022300141,5-Nov-23,TOR @ SAS,W,38,8,16,0.5,7,13,0.538,1,4,0.25,2,4,6,4,2,0,1,3,24,8,OG Anunoby,Raptors
22023,1628384,0022300128,2-Nov-23,TOR @ PHI,L,33,7,12,0.583,2,4,0.5,0,0,0,1,3,4,1,0,1,3,2,16,5,OG Anunoby,Raptors
22023,1628384,0022300116,1-Nov-23,TOR vs. MIL,W,25,7,7,1,1,1,1,1,2,0.5,0,2,2,3,1,0,2,5,16,16,OG Anunoby,Raptors
22023,1628384,0022300105,30-Oct-23,TOR vs. POR,L,30,4,12,0.333,2,9,0.222,0,0,0,0,3,3,1,2,1,2,0,10,0,OG Anunoby,Raptors
22023,1628384,0022300082,27-Oct-23,TOR @ CHI,L,28,5,8,0.625,1,4,0.25,0,1,0,0,3,3,0,2,0,1,2,11,28,OG Anunoby,Raptors
22023,1628384,0022300069,25-Oct-23,TOR vs. MIN,W,34,7,13,0.538,4,9,0.444,2,2,1,0,6,6,1,2,3,2,2,20,6,OG Anunoby,Raptors
22023,1627853,0022300177,12-Nov-23,NYK vs. CHA,W,3,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,-4,Ryan Arcidiacono,Knicks
22023,1627853,0022300161,8-Nov-23,NYK vs. SAS,W,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2,Ryan Arcidiacono,Knicks
22023,1627853,0022300112,31-Oct-23,NYK @ CLE,W,2,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,Ryan Arcidiacono,Knicks
22023,1630166,0022300178,12-Nov-23,WAS @ BKN,L,38,6,18,0.333,1,8,0.125,1,2,0.5,2,7,9,3,3,0,2,2,14,-1,Deni Avdija,Wizards
22023,1630166,0022300009,10-Nov-23,WAS vs. CHA,L,31,5,9,0.556,1,4,0.25,0,0,0,1,5,6,5,1,1,3,2,11,9,Deni Avdija,Wizards
22023,1630166,0022300157,8-Nov-23,WAS @ CHA,W,28,3,10,0.3,0,1,0,3,3,1,1,2,3,5,0,1,1,4,9,-5,Deni Avdija,Wizards
22023,1630166,0022300148,6-Nov-23,WAS @ PHI,L,28,5,8,0.625,2,4,0.5,4,4,1,1,4,5,6,1,0,1,1,16,-11,Deni Avdija,Wizards
22023,1630166,0022300003,3-Nov-23,WAS @ MIA,L,24,6,8,0.75,1,2,0.5,1,2,0.5,0,4,4,3,0,0,2,1,14,-14,Deni Avdija,Wizards
22023,1630166,0022300117,1-Nov-23,WAS @ ATL,L,24,10,16,0.625,2,4,0.5,0,1,0,3,2,5,3,2,1,1,5,22,3,Deni Avdija,Wizards
