Player,Team,GAME_DATE,MATCHUP,Win/Loss,Minutes,2PTMade,2PTAttempted,2PT_%,3PTMade,3PT_Attempted,3PT_%,FreeThrowsMade,FreeThrowsAttempted,FreeThrow%,OffensiveRebounds,DefensiveRebounds,TotRebounds,Assists,Steals,Blocks,Turnovers,PersonalFouls,Points,+/-
Deandre Ayton,Trail Blazers,"NOV 08, 2023",POR @ SAC,L,41,9,14,64.3%,0,0,0.0%,0,0,0.0%,1,9,10,2,0,0,2,5,18,7
Deandre Ayton,Trail Blazers,"NOV 05, 2023",POR vs. MEM,L,35,3,9,33.3%,0,0,0.0%,0,0,0.0%,2,9,11,0,2,1,3,4,6,-18
Deandre Ayton,Trail Blazers,"NOV 03, 2023",POR vs. MEM,W,36,7,11,63.6%,0,0,0.0%,2,2,100.0%,4,8,12,2,3,1,1,4,16,10
Deandre Ayton,Trail Blazers,"NOV 01, 2023",POR @ DET,W,34,8,13,61.5%,0,0,0.0%,0,0,0.0%,1,10,11,1,5,1,2,0,16,5
Deandre Ayton,Trail Blazers,"OCT 30, 2023",POR @ TOR,W,32,5,9,55.6%,0,0,0.0%,0,0,0.0%,7,16,23,2,1,2,1,1,10,7
Deandre Ayton,Trail Blazers,"OCT 29, 2023",POR @ PHI,L,21,3,7,42.9%,0,0,0.0%,1,1,100.0%,2,7,9,2,2,1,0,3,7,-15
Deandre Ayton,Trail Blazers,"OCT 27, 2023",POR vs. ORL,L,30,7,9,77.8%,0,0,0.0%,0,0,0.0%,4,11,15,1,0,0,2,4,14,6
Deandre Ayton,Trail Blazers,"OCT 25, 2023",POR @ LAC,L,23,2,4,50.0%,0,0,0.0%,0,0,0.0%,3,9,12,1,3,1,3,5,4,-5
Deandre Ayton - Average,Average,,,,32.0,6.0,10.3,56.8%,0.0,0.0,0.0%,0.5,0.5,30.0%,2.9,9.1,12.0,1.4,1.6,0.9,1.8,2.9,12.5,-2.5
Udoka Azubuike,Suns,"NOV 05, 2023",PHX @ DET,W,3,0,0,0.0%,0,0,0.0%,0,0,0.0%,0,1,1,0,0,0,0,1,0,-5
Udoka Azubuike,Suns,"OCT 28, 2023",PHX vs. UTA,W,6,1,1,100.0%,0,0,0.0%,0,0,0.0%,0,3,3,0,0,0,0,0,2,-4
Udoka Azubuike - Average,Average,,,,4.5,0.5,0.5,50.0%,0.0,0.0,0.0%,0.0,0.0,0.0%,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.5,1.0,-4.5
Marvin Bagley III,Pistons,"NOV 14, 2023",DET vs. ATL,L,30,9,12,75.0%,0,0,0.0%,4,4,100.0%,6,5,11,1,0,1,4,2,22,4
Marvin Bagley III,Pistons,"NOV 12, 2023",DET @ CHI,L,23,6,12,50.0%,0,1,0.0%,2,2,100.0%,2,3,5,1,0,1,3,1,14,-8
Marvin Bagley III,Pistons,"NOV 10, 2023",DET vs. PHI,L,13,3,4,75.0%,0,0,0.0%,0,0,0.0%,2,3,5,1,0,0,1,2,6,2
Marvin Bagley III,Pistons,"NOV 08, 2023",DET @ MIL,L,20,5,6,83.3%,0,0,0.0%,2,2,100.0%,2,0,2,2,0,1,1,4,12,1
Marvin Bagley III,Pistons,"NOV 06, 2023",DET vs. GSW,L,24,4,8,50.0%,0,0,0.0%,2,2,100.0%,0,2,2,1,0,0,1,1,10,1
Marvin Bagley III,Pistons,"NOV 05, 2023",DET vs. PHX,L,11,3,5,60.0%,0,0,0.0%,5,5,100.0%,1,1,2,1,0,0,1,5,11,7
